
Progress: 16245/17100 (95.0%) — $\color{green}{completed}$ / $\color{blue}{running}$ / $\color{red}{failed}$ (done%)

| Algorithm | h24 | h36 | h48 | Total |
|:--|:--:|:--:|:--:|:--|
| BRITS | ✅ | ✅ | $\color{green}{131}$ / $\color{blue}{8}$ / $\color{red}{0}$ (87%) | $\color{green}{431}$ / $\color{blue}{8}$ / $\color{red}{0}$ (95%) |
| BayOTIDE | ✅ | ✅ | $\color{green}{127}$ / $\color{blue}{11}$ / $\color{red}{0}$ (84%) | $\color{green}{427}$ / $\color{blue}{11}$ / $\color{red}{0}$ (94%) |
| BitGraph | ✅ | ✅ | $\color{green}{132}$ / $\color{blue}{7}$ / $\color{red}{0}$ (88%) | $\color{green}{432}$ / $\color{blue}{7}$ / $\color{red}{0}$ (96%) |
| CDRec | ✅ | ✅ | $\color{green}{130}$ / $\color{blue}{9}$ / $\color{red}{0}$ (86%) | $\color{green}{430}$ / $\color{blue}{9}$ / $\color{red}{0}$ (95%) |
| CSDI | ✅ | ✅ | $\color{green}{124}$ / $\color{blue}{9}$ / $\color{red}{0}$ (82%) | $\color{green}{424}$ / $\color{blue}{9}$ / $\color{red}{0}$ (94%) |
| DeepMVI | ✅ | ✅ | $\color{green}{128}$ / $\color{blue}{6}$ / $\color{red}{0}$ (85%) | $\color{green}{428}$ / $\color{blue}{6}$ / $\color{red}{0}$ (95%) |
| DynaMMo | ✅ | ✅ | $\color{green}{125}$ / $\color{blue}{3}$ / $\color{red}{0}$ (83%) | $\color{green}{425}$ / $\color{blue}{3}$ / $\color{red}{0}$ (94%) |
| GAIN | ✅ | ✅ | $\color{green}{127}$ / $\color{blue}{1}$ / $\color{red}{0}$ (84%) | $\color{green}{427}$ / $\color{blue}{1}$ / $\color{red}{0}$ (94%) |
| GPT4TS | ✅ | ✅ | $\color{green}{130}$ / $\color{blue}{3}$ / $\color{red}{0}$ (86%) | $\color{green}{430}$ / $\color{blue}{3}$ / $\color{red}{0}$ (95%) |
| GRIN | ✅ | ✅ | $\color{green}{122}$ / $\color{blue}{5}$ / $\color{red}{0}$ (81%) | $\color{green}{422}$ / $\color{blue}{5}$ / $\color{red}{0}$ (93%) |
| GROUSE | ✅ | ✅ | $\color{green}{128}$ / $\color{blue}{2}$ / $\color{red}{0}$ (85%) | $\color{green}{428}$ / $\color{blue}{2}$ / $\color{red}{0}$ (95%) |
| HKMFT | ✅ | ✅ | $\color{green}{129}$ / $\color{blue}{0}$ / $\color{red}{0}$ (86%) | $\color{green}{429}$ / $\color{blue}{0}$ / $\color{red}{0}$ (95%) |
| IIM | ✅ | ✅ | $\color{green}{128}$ / $\color{blue}{0}$ / $\color{red}{0}$ (85%) | $\color{green}{428}$ / $\color{blue}{0}$ / $\color{red}{0}$ (95%) |
| Interpolation | ✅ | ✅ | $\color{green}{130}$ / $\color{blue}{0}$ / $\color{red}{0}$ (86%) | $\color{green}{430}$ / $\color{blue}{0}$ / $\color{red}{0}$ (95%) |
| IterativeSVD | ✅ | ✅ | $\color{green}{127}$ / $\color{blue}{1}$ / $\color{red}{0}$ (84%) | $\color{green}{427}$ / $\color{blue}{1}$ / $\color{red}{0}$ (94%) |
| KNNImpute | ✅ | ✅ | $\color{green}{128}$ / $\color{blue}{3}$ / $\color{red}{0}$ (85%) | $\color{green}{428}$ / $\color{blue}{3}$ / $\color{red}{0}$ (95%) |
| MICE | ✅ | ✅ | $\color{green}{128}$ / $\color{blue}{1}$ / $\color{red}{0}$ (85%) | $\color{green}{428}$ / $\color{blue}{1}$ / $\color{red}{0}$ (95%) |
| MPIN | ✅ | ✅ | $\color{green}{126}$ / $\color{blue}{2}$ / $\color{red}{0}$ (84%) | $\color{green}{426}$ / $\color{blue}{2}$ / $\color{red}{0}$ (94%) |
| MRNN | ✅ | ✅ | $\color{green}{128}$ / $\color{blue}{3}$ / $\color{red}{0}$ (85%) | $\color{green}{428}$ / $\color{blue}{3}$ / $\color{red}{0}$ (95%) |
| MeanImpute | ✅ | ✅ | $\color{green}{128}$ / $\color{blue}{0}$ / $\color{red}{0}$ (85%) | $\color{green}{428}$ / $\color{blue}{0}$ / $\color{red}{0}$ (95%) |
| MeanImputeBySeries | ✅ | ✅ | $\color{green}{127}$ / $\color{blue}{3}$ / $\color{red}{0}$ (84%) | $\color{green}{427}$ / $\color{blue}{3}$ / $\color{red}{0}$ (94%) |
| MinImpute | ✅ | ✅ | $\color{green}{128}$ / $\color{blue}{2}$ / $\color{red}{0}$ (85%) | $\color{green}{428}$ / $\color{blue}{2}$ / $\color{red}{0}$ (95%) |
| MissForest | ✅ | ✅ | $\color{green}{127}$ / $\color{blue}{1}$ / $\color{red}{0}$ (84%) | $\color{green}{427}$ / $\color{blue}{1}$ / $\color{red}{0}$ (94%) |
| MissNet | ✅ | ✅ | $\color{green}{128}$ / $\color{blue}{3}$ / $\color{red}{0}$ (85%) | $\color{green}{428}$ / $\color{blue}{3}$ / $\color{red}{0}$ (95%) |
| Moment | ✅ | ✅ | $\color{green}{128}$ / $\color{blue}{1}$ / $\color{red}{0}$ (85%) | $\color{green}{428}$ / $\color{blue}{1}$ / $\color{red}{0}$ (95%) |
| NuwaTS | ✅ | ✅ | $\color{green}{119}$ / $\color{blue}{9}$ / $\color{red}{0}$ (79%) | $\color{green}{419}$ / $\color{blue}{9}$ / $\color{red}{0}$ (93%) |
| PRISTI | ✅ | ✅ | $\color{green}{128}$ / $\color{blue}{3}$ / $\color{red}{0}$ (85%) | $\color{green}{428}$ / $\color{blue}{3}$ / $\color{red}{0}$ (95%) |
| ROSL | ✅ | ✅ | $\color{green}{126}$ / $\color{blue}{1}$ / $\color{red}{0}$ (84%) | $\color{green}{426}$ / $\color{blue}{1}$ / $\color{red}{0}$ (94%) |
| SAITS | ✅ | ✅ | $\color{green}{127}$ / $\color{blue}{1}$ / $\color{red}{0}$ (84%) | $\color{green}{427}$ / $\color{blue}{1}$ / $\color{red}{0}$ (94%) |
| SPIRIT | ✅ | ✅ | $\color{green}{126}$ / $\color{blue}{0}$ / $\color{red}{0}$ (84%) | $\color{green}{426}$ / $\color{blue}{0}$ / $\color{red}{0}$ (94%) |
| STMVL | ✅ | ✅ | $\color{green}{128}$ / $\color{blue}{0}$ / $\color{red}{0}$ (85%) | $\color{green}{428}$ / $\color{blue}{0}$ / $\color{red}{0}$ (95%) |
| SVT | ✅ | ✅ | $\color{green}{132}$ / $\color{blue}{0}$ / $\color{red}{0}$ (88%) | $\color{green}{432}$ / $\color{blue}{0}$ / $\color{red}{0}$ (96%) |
| SoftImpute | ✅ | ✅ | $\color{green}{133}$ / $\color{blue}{0}$ / $\color{red}{0}$ (88%) | $\color{green}{433}$ / $\color{blue}{0}$ / $\color{red}{0}$ (96%) |
| TKCM | ✅ | ✅ | $\color{green}{128}$ / $\color{blue}{4}$ / $\color{red}{0}$ (85%) | $\color{green}{428}$ / $\color{blue}{4}$ / $\color{red}{0}$ (95%) |
| TRMF | ✅ | ✅ | $\color{green}{126}$ / $\color{blue}{6}$ / $\color{red}{0}$ (84%) | $\color{green}{426}$ / $\color{blue}{6}$ / $\color{red}{0}$ (94%) |
| TimesNet | ✅ | ✅ | $\color{green}{128}$ / $\color{blue}{5}$ / $\color{red}{0}$ (85%) | $\color{green}{428}$ / $\color{blue}{5}$ / $\color{red}{0}$ (95%) |
| XGBOOST | ✅ | ✅ | $\color{green}{124}$ / $\color{blue}{7}$ / $\color{red}{0}$ (82%) | $\color{green}{424}$ / $\color{blue}{7}$ / $\color{red}{0}$ (94%) |
| ZeroImpute | ✅ | ✅ | $\color{green}{126}$ / $\color{blue}{8}$ / $\color{red}{0}$ (84%) | $\color{green}{426}$ / $\color{blue}{8}$ / $\color{red}{0}$ (94%) |
| **TOTAL** | **$\color{green}{5700}$ / $\color{blue}{0}$ / $\color{red}{0}$ (100%)** | **$\color{green}{5700}$ / $\color{blue}{0}$ / $\color{red}{0}$ (100%)** | **$\color{green}{4845}$ / $\color{blue}{128}$ / $\color{red}{0}$ (85%)** | **$\color{green}{16245}$ / $\color{blue}{128}$ / $\color{red}{0}$ (95%)** |
